Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Emirate,Q5_Employment,Q6_Income,Q7_Education,Q8_Household,Q9_Cafe_Frequency,Q10_Avg_Spending_Per_Visit_AED,Q11_Visit_Duration,Q12_Primary_Reason,Q13_Preferred_Time,Q14_Alone_Or_Company,Q15_Reading_Frequency,Q16_Books_Per_Year,Q17_Reading_Format,Q18_Favorite_Genres,Q19_Book_Acquisition,Q20_Book_Spending_Monthly_AED,Q21_Coffee_Preferences,Q22_Reading_Beverage,Q23_Ideal_Ambiance,Q24_Food_Preferences,Q25_Visited_Similar_Concept,Q26_What_Attracts,Q27_Book_Access_Model,Q28_Monthly_book_club_membership,Q28_Author_meet_&_greet_events,Q28_Writing_poetry_workshops,Q28_Children's_storytelling_sessions,Q28_Private_reading_pods_rooms,Q28_Co-working_space_with_books,Q28_Take-home_book_subscription,Q28_Coffee_+_book_pairing_recommendations,Q29_Willing_Pay_Coffee_AED,Q30_Total_Spending_Per_Visit_AED,Q31_Consider_Membership,Q32_Membership_Fee_AED,Q33_Premium_Exclusive,Q34_Quality_of_coffee,Q34_Book_collection_size_&_quality,Q34_Ambiance_&_comfort,Q34_Location_convenience,Q34_Price_value,Q35_Free_Time_Activities,Q36_Personality,Q37_Environmental_Consciousness,Q38_Technology_Adoption,Q39_Brand_Loyalty,Q40_Interest_Rating_1to10,Q41_Visit_Likelihood_TARGET,Q42_Expected_Visit_Frequency,Q43_Recommend_To_Others,Q44_Preferred_Location,Q45_Concerns,Q46_Additional_Services_Feedback,Q47_Other_Comments
11,25-34,Female,UAE National,Dubai,Full-time employed,"10,001 - 20,000",Master's Degree,"Married/Partner, no children",Once a week,23,Less than 30 minutes (quick coffee),Coffee/beverages quality|Free WiFi,Afternoon (3-6 PM),Mostly alone,Regular reader (3-5 times per week),18,Online articles/blogs,Children's/Young Adult|Fiction - Contemporary/Romance|Non-Fiction - Science/Technology|Poetry|Religious/Spiritual,"Borrow from friends/family|Free online resources|Online purchase (Amazon, Noon, etc.)",174,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Cold beverages (juice, smoothies)","Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Greenery/plants|Minimalist decor|Natural lighting|Vintage/classic decor","Breakfast items|Desserts (cakes, brownies)","No, but interested","Access to large book collection|Author events/book signings|Community of like-minded people|Cozy, comfortable ambiance",Digital library access + physical cafe,4,2,4,2,3,4,5,2,23,35,"Yes, depending on price",137,21-35 AED,2,5,1,3,1,Dining out/cafe hopping|Reading books|Watching movies/series,Somewhat introverted,Very important (influences all decisions),Late adopter (adopt when necessary),Neutral (try based on mood),8,Definitely will visit,2-3 times per month,Definitely yes,Near universities/schools,May be too crowded/noisy,N/A,N/A
12,35-44,Male,South Asian,Ras Al Khaimah,Full-time employed,"35,001 - 50,000",Bachelor's Degree,"Married/Partner, with children (under 12)",Once a month,45,1-2 hours,Coffee/beverages quality,Afternoon (3-6 PM)|Evening (6-9 PM)|Lunch time (12-3 PM),Both equally,Occasional reader (1-2 times per week),18,"E-books (Kindle, tablets)",Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Poetry,Purchase from bookstores,54,Fresh Juices/Smoothies|Hot Chocolate,Hot coffee|Iced coffee,Dim/cozy lighting|Natural lighting|Soft background music,"Desserts (cakes, brownies)|No food, just beverages","Yes, in UAE",Book clubs/reading groups|Book exchange program|Work/study-friendly environment,Combination of above options,2,2,4,4,4,2,5,1,42,76,Probably not,0,10-20 AED,2,5,5,3,2,Learning new skills/courses|Socializing with friends/family|Working on personal projects,Very extroverted (thrive in social settings),Not a priority,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),7,Definitely will visit,Multiple times per week,Definitely yes,Street retail/standalone,Distance/location inconvenience|No major concerns,N/A,N/A
13,18-24,Female,East Asian,Ajman,Full-time employed,"50,001 - 75,000",High School or below,"Married/Partner, no children",2-3 times per month,80,30 minutes - 1 hour,Ambiance and interior design,Afternoon (3-6 PM)|Weekends only,Mostly with company,Non-reader,0,I don't read books,Non-Fiction - Science/Technology,I don't acquire books,0,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Non-caffeinated beverages only",I don't drink anything while reading,Greenery/plants|Outdoor seating option|Vintage/classic decor,"International cuisine options|Pastries (croissants, muffins)","No, but interested",Work/study-friendly environment,"Book exchange (bring one, take one)",2,1,2,1,1,1,1,1,80,238,Definitely not,0,21-35 AED,2,1,2,5,3,Dining out/cafe hopping|Outdoor activities/sports|Reading books,Balanced (ambivert),Somewhat important,Mainstream (adopt when widely accepted),Variety seeker (always try new places),4,Might visit,Once every few months,Probably yes,Near universities/schools,Limited book selection|Not enough time to utilize|Prefer buying books separately,N/A,N/A
14,25-34,Male,Arab Expat,Abu Dhabi,Full-time employed,"35,001 - 50,000",Bachelor's Degree,"Single, living with roommates",Once a month,40,2-3 hours,Work/study in a different environment,Afternoon (3-6 PM)|Lunch time (12-3 PM),Mostly with company,Regular reader (3-5 times per week),19,Online articles/blogs,Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Other|Religious/Spiritual,Borrow from friends/family,127,"Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","Cold beverages (juice, smoothies)|Tea",Fireplace or warm elements|Natural lighting|Quiet/Silent zones|Soft background music,Salads|Traditional Arabic sweets,"No, but interested",Ability to purchase books|Book exchange program|Community of like-minded people|Instagram-worthy aesthetics|Quality coffee and food|Quiet environment for reading,Digital library access + physical cafe,3,5,4,4,3,4,2,3,41,96,Probably not,0,10-20 AED,1,3,3,3,3,Arts & crafts|Dining out/cafe hopping|Gaming,Somewhat introverted,Important (consider when possible),Early adopter (love new tech),Variety seeker (always try new places),6,Probably will visit,Once a month,Maybe,Mixed-use developments|Near universities/schools,Distance/location inconvenience,N/A,N/A
15,35-44,Female,Western Expat,Dubai,Full-time employed,"Above 75,000",Bachelor's Degree,"Married/Partner, with children (under 12)",4-6 times per week,68,30 minutes - 1 hour,Coffee/beverages quality,Afternoon (3-6 PM)|Lunch time (12-3 PM),Both equally,Daily reader (read every day),55,Magazines,Fiction - Literary|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology|Other|Poetry,"Borrow from friends/family|Free online resources|Online purchase (Amazon, Noon, etc.)",245,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee",Hot chocolate|Hot coffee,"Comfortable seating (sofas, armchairs)|Greenery/plants|Individual reading nooks/pods|Outdoor seating option|Quiet/Silent zones|Vintage/classic decor",International cuisine options|Traditional Arabic sweets,"Yes, in UAE",Ability to purchase books|Author events/book signings|Book clubs/reading groups|Kids' reading corner|Multilingual book collection|Quality coffee and food|Work/study-friendly environment,Membership for book borrowing (take home),3,3,3,3,5,4,4,3,60,119,"Yes, definitely",361,10-20 AED,2,5,3,4,5,Reading books|Shopping,Balanced (ambivert),Important (consider when possible),Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),10,Might visit,2-3 times per month,Probably not,Mixed-use developments|Shopping malls,May be too crowded/noisy|Prefer buying books separately|Price might be too high,N/A,N/A
16,35-44,Male,Western Expat,Fujairah,Self-employed/Business owner,"10,001 - 20,000",Bachelor's Degree,"Married/Partner, no children",Once a week,29,1-2 hours,Free WiFi,Mid-morning (9 AM-12 PM),Mostly with company,Occasional reader (1-2 times per week),13,"Audiobooks|E-books (Kindle, tablets)|Magazines",Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Poetry,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)|Free online resources",114,"Cold Brew/Iced Coffee|Filter/Drip Coffee|Tea (Black, Green, Herbal)",Hot chocolate|Tea,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Individual reading nooks/pods|Modern/contemporary decor","International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Sandwiches/Wraps","No, but interested","Author events/book signings|Cozy, comfortable ambiance",Digital library access + physical cafe,1,4,3,3,2,4,3,1,26,54,Maybe,173,36-50 AED,2,4,3,3,3,Arts & crafts|Learning new skills/courses|Social media browsing,Very extroverted (thrive in social settings),Important (consider when possible),Fast follower (adopt after some research),Variety seeker (always try new places),7,Might visit,Once a month,Maybe,Beach/waterfront locations,Already have similar options|Coffee quality concerns|May be too crowded/noisy,N/A,N/A
17,25-34,Female,Western Expat,Dubai,Part-time employed,"10,001 - 20,000",Bachelor's Degree,"Married/Partner, no children",2-3 times per week,25,1-2 hours,"Relaxation and ""me-time""|Work/study in a different environment",Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM),Both equally,Occasional reader (1-2 times per week),14,"E-books (Kindle, tablets)|Online articles/blogs|Physical books (paperback/hardcover)",Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics,"E-book subscriptions (Kindle Unlimited, etc.)",53,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)",Water only,Greenery/plants|Modern/contemporary decor|Natural lighting|Quiet/Silent zones|Vintage/classic decor,"Light snacks (cookies, biscuits)|Traditional Arabic sweets","No, but interested",Ability to purchase books|Book exchange program|Instagram-worthy aesthetics,Digital library access + physical cafe,1,3,2,3,2,3,3,4,25,50,"Yes, depending on price",143,0 (Not interested),3,4,3,1,4,Learning new skills/courses|Social media browsing|Traveling,Somewhat introverted,Not a priority,Fast follower (adopt after some research),Opportunistic (based on deals/convenience),10,Definitely will visit,Once a week,Probably yes,Mixed-use developments|Tourist areas,Distance/location inconvenience|May be too crowded/noisy,N/A,N/A
18,35-44,Male,Arab Expat,Abu Dhabi,Self-employed/Business owner,"50,001 - 75,000",Bachelor's Degree,"Married/Partner, with children (under 12)",4-6 times per week,53,Less than 30 minutes (quick coffee),Business meetings,Early morning (6-9 AM)|Lunch time (12-3 PM)|Weekends only,Mostly alone,Occasional reader (1-2 times per week),12,Magazines|Online articles/blogs|Physical books (paperback/hardcover),Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Religious/Spiritual,"Borrow from friends/family|Online purchase (Amazon, Noon, etc.)",88,Arabic/Turkish Coffee|Fresh Juices/Smoothies|Hot Chocolate,Hot chocolate,"Comfortable seating (sofas, armchairs)|Modern/contemporary decor|Outdoor seating option|Quiet/Silent zones",Salads|Vegan/Healthy options,"No, but interested","Ability to purchase books|Author events/book signings|Book exchange program|Cozy, comfortable ambiance",Combination of above options,2,2,2,5,3,3,2,1,54,139,Probably not,0,10-20 AED,1,1,4,2,1,Gaming|Outdoor activities/sports|Social media browsing,Balanced (ambivert),Very important (influences all decisions),Late adopter (adopt when necessary),Neutral (try based on mood),6,Might visit,Once every few months,Probably yes,Street retail/standalone,Limited book selection|Price might be too high,N/A,N/A
19,45-54,Female,GCC National,Ras Al Khaimah,Unemployed,"5,000 - 10,000",Master's Degree,"Married/Partner, with children (under 12)",Once a month,21,30 minutes - 1 hour,Coffee/beverages quality|Work/study in a different environment,Evening (6-9 PM)|Weekends only,Mostly alone,Daily reader (read every day),45,Newspapers,Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Poetry,"E-book subscriptions (Kindle Unlimited, etc.)|Public libraries",180,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)|Hot chocolate","Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Natural lighting|Quiet/Silent zones|Soft background music","Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets","No, but interested",Ability to borrow books|Access to large book collection|Author events/book signings|Kids' reading corner,"Book exchange (bring one, take one)",3,5,4,4,3,3,3,2,18,33,Probably not,0,21-35 AED,3,3,1,3,4,Arts & crafts|Reading books|Traveling,Somewhat extroverted,Important (consider when possible),Fast follower (adopt after some research),Variety seeker (always try new places),8,Definitely will visit,Multiple times per week,Definitely yes,Street retail/standalone,Limited book selection,N/A,N/A
20,18-24,Male,GCC National,Dubai,Student,"Less than 5,000",Bachelor's Degree,"Single, living with roommates",2-3 times per month,12,1-2 hours,Food quality,Early morning (6-9 AM)|Evening (6-9 PM)|Night (9 PM onwards),Mostly with company,Monthly reader (few times a month),5,Online articles/blogs|Physical books (paperback/hardcover),Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Religious/Spiritual,Borrow from friends/family|Purchase from bookstores,35,"Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot coffee,Fireplace or warm elements|Individual reading nooks/pods|Natural lighting,"Light snacks (cookies, biscuits)|Sandwiches/Wraps","No, but interested",Ability to borrow books|Ability to purchase books|Author events/book signings|Book clubs/reading groups|Instagram-worthy aesthetics,Combination of above options,3,3,3,3,1,5,4,3,15,27,Definitely not,0,21-35 AED,4,3,2,1,1,Outdoor activities/sports|Reading books|Watching movies/series,Very introverted (prefer solitude),Very important (influences all decisions),Mainstream (adopt when widely accepted),Neutral (try based on mood),6,Probably won't visit,Once every few months,Maybe,Mixed-use developments,Distance/location inconvenience|Limited book selection|Prefer buying books separately,N/A,N/A
21,45-54,Male,South Asian,Abu Dhabi,Full-time employed,Prefer not to say,Bachelor's Degree,"Married/Partner, no children",Once a week,43,Less than 30 minutes (quick coffee),"Relaxation and ""me-time""",Early morning (6-9 AM)|Mid-morning (9 AM-12 PM),Both equally,Rare reader (few times a year),2,Audiobooks|Magazines|Physical books (paperback/hardcover),Children's/Young Adult|Fiction - Contemporary/Romance,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)|Free online resources",7,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Non-caffeinated beverages only,Hot coffee,Dim/cozy lighting|Natural lighting|Soft background music,"Breakfast items|Desserts (cakes, brownies)|Salads","Yes, in UAE",Ability to borrow books|Book exchange program|Community of like-minded people|Quiet environment for reading,Combination of above options,1,3,3,5,3,2,2,2,38,84,Maybe,118,0 (Not interested),4,3,1,1,3,Gaming|Learning new skills/courses|Reading books,Very introverted (prefer solitude),Not a priority,Technology resistant,Variety seeker (always try new places),5,Might visit,Once a month,Probably not,Business districts|Mixed-use developments,Coffee quality concerns|May be too crowded/noisy|Price might be too high,N/A,N/A
